AnimalId,MovementId,MovementDate,OffLocationKey,OnLocationKey,Birth,Death,Stay_Length,Valid_History,OffX,OffY,OnX,OnY,Distance
7979039,10,2003-09-06T00:00:00.000Z,791199,236111,false,false,6,1,421212,232137,409471,194105,39803
7979039,13,2009-11-17T00:00:00.000Z,236111,86780,false,false,263,1,409471,194105,384156,207631,28701
7979039,16,2011-04-14T00:00:00.000Z,25754000,25802473,false,false,3,1,406638,198793,352691,154926,69531
7979039,6,2002-08-22T00:00:00.000Z,790725,236111,false,false,16,1,350654,213188,409471,194105,61835
7979039,9,2003-09-06T00:00:00.000Z,236111,791199,false,false,0,1,409471,194105,421212,232137,39803
7979039,12,2003-09-13T00:00:00.000Z,95522,236111,false,false,2257,1,435982,121560,409471,194105,77237
7979039,15,2011-04-14T00:00:00.000Z,2915,25754000,false,false,0,1,456974,172845,406638,198793,56630
7979039,18,2011-04-18T00:00:00.000Z,25789133,,false,true,,1,,,,,
7979039,5,2002-08-22T00:00:00.000Z,236111,790725,false,false,0,1,409471,194105,350654,213188,61835
7979039,8,2002-09-07T00:00:00.000Z,791199,236111,false,false,364,1,421212,232137,409471,194105,39803
7979039,11,2003-09-12T00:00:00.000Z,236111,95522,false,false,1,1,409471,194105,435982,121560,77237
7979039,3,2002-07-31T00:00:00.000Z,236111,889523,false,false,1,1,409471,194105,430650,104972,91614
7979039,4,2002-08-01T00:00:00.000Z,889523,236111,false,false,21,1,430650,104972,409471,194105,91614
7979039,7,2002-09-07T00:00:00.000Z,236111,791199,false,false,0,1,409471,194105,421212,232137,39803
7979039,14,2010-08-07T00:00:00.000Z,86780,2915,false,false,250,1,384156,207631,456974,172845,80700
7979039,17,2011-04-17T00:00:00.000Z,25802473,25789133,false,false,1,1,352691,154926,342868,126218,30342
