AnimalId,MovementId,MovementDate,OffLocationKey,OnLocationKey,Birth,Death,Stay_Length,Valid_History,OffX,OffY,OnX,OnY,Distance
3201599,8,2010-09-12T00:00:00.000Z,25786732,25791682,false,false,0,0,382054,207536,375006,207837,7054
3201599,11,2010-11-08T00:00:00.000Z,382186,,false,true,,0,,,,,
3201599,4,2004-06-20T00:00:00.000Z,790389,87306,false,false,0,0,377894,242742,373576,210475,32554
3201599,1,2003-08-25T00:00:00.000Z,87306,1425424,false,false,0,0,373576,210475,367994,198176,13506
3201599,3,2004-06-20T00:00:00.000Z,87306,790389,false,false,0,0,373576,210475,377894,242742,32554
3201599,6,2007-09-09T00:00:00.000Z,,87306,false,false,489,0,,,,,
3201599,9,2010-09-12T00:00:00.000Z,25791682,25786732,false,false,56,0,375006,207837,382054,207536,7054
3201599,2,2003-08-25T00:00:00.000Z,1425424,87306,false,false,300,0,367994,198176,373576,210475,13506
3201599,5,2004-06-20T00:00:00.000Z,87306,,false,false,1176,0,,,,,
3201599,7,2009-01-10T00:00:00.000Z,87306,25786732,false,false,610,0,373576,210475,382054,207536,8972
3201599,10,2010-11-07T00:00:00.000Z,25786732,382186,false,false,1,0,382054,207536,383487,213437,6072
