AnimalId,MovementId,MovementDate,OffLocationKey,OnLocationKey,Birth,Death,Stay_Length,Valid_History,OffX,OffY,OnX,OnY,Distance
4924433,2,2004-07-18T00:00:00.000Z,166308,130939,false,false,96,1,420289,618173,407898,442263,176345
4924433,5,2005-08-25T00:00:00.000Z,130939,266418,false,false,56,1,407898,442263,493292,447767,85571
4924433,8,2005-10-21T00:00:00.000Z,1415791,1434007,false,false,1868,1,342862,555780,436645,192902,374800
4924433,4,2005-05-02T00:00:00.000Z,131151,130939,false,false,115,1,368175,452781,407898,442263,41091
4924433,7,2005-10-20T00:00:00.000Z,246785,1415791,false,false,1,1,453034,480188,342862,555780,133611
4924433,10,2010-12-02T00:00:00.000Z,25754000,180616,false,false,4,1,406638,198793,0,0,452629
4924433,12,2010-12-06T00:00:00.000Z,382281,,false,true,,1,,,,,
4924433,11,2010-12-06T00:00:00.000Z,180616,382281,false,false,0,1,0,0,368372,172268,406662
4924433,3,2004-10-22T00:00:00.000Z,130939,131151,false,false,192,1,407898,442263,368175,452781,41091
4924433,6,2005-10-20T00:00:00.000Z,266418,246785,false,false,0,1,493292,447767,453034,480188,51689
4924433,9,2010-12-02T00:00:00.000Z,1434007,25754000,false,false,0,1,436645,192902,406638,198793,30579
