AnimalId,MovementId,MovementDate,OffLocationKey,OnLocationKey,Birth,Death,Stay_Length,Valid_History,OffX,OffY,OnX,OnY,Distance
6358405,3,2006-03-15T00:00:00.000Z,214192,889243,false,false,219,1,496086,161039,503292,144767,17796
6358405,6,2010-03-08T00:00:00.000Z,177098,25754000,false,false,1,1,436329,189958,406638,198793,30977
6358405,9,2012-10-23T00:00:00.000Z,174842,25754000,false,false,0,1,462360,178974,406638,198793,59141
6358405,12,2012-10-25T00:00:00.000Z,1417547,,false,true,,1,,,,,
6358405,2,2003-06-19T00:00:00.000Z,216480,214192,false,false,1000,1,498837,152187,496086,161039,9269
6358405,5,2006-10-20T00:00:00.000Z,382920,177098,false,false,1235,1,470852,205219,436329,189958,37745
6358405,8,2011-06-03T00:00:00.000Z,25745132,174842,false,false,508,1,381850,175021,462360,178974,80606
6358405,1,2002-11-04T00:00:00.000Z,214192,216480,false,false,227,1,496086,161039,498837,152187,9269
6358405,4,2006-10-20T00:00:00.000Z,889243,382920,false,false,0,1,503292,144767,470852,205219,68606
6358405,11,2012-10-25T00:00:00.000Z,85221,1417547,false,false,0,1,370502,208481,196296,218526,174495
6358405,7,2010-03-09T00:00:00.000Z,25754000,25745132,false,false,451,1,406638,198793,381850,175021,34344
6358405,10,2012-10-23T00:00:00.000Z,25754000,85221,false,false,2,1,406638,198793,370502,208481,37412
