AnimalId,MovementId,MovementDate,OffLocationKey,OnLocationKey,Birth,Death,Stay_Length,Valid_History,OffX,OffY,OnX,OnY,Distance
85872912,24,2009-07-05T00:00:00.000Z,81832,789664,false,false,5,1,389316,225772,432315,271422,62712
85872912,27,2009-08-31T00:00:00.000Z,790511,81832,false,false,5,1,525897,154159,389316,225772,154216
85872912,30,2009-09-18T00:00:00.000Z,81832,2653,false,false,2,1,389316,225772,448881,173282,79392
85872912,41,2011-07-14T00:00:00.000Z,791228,81832,false,false,2,1,432336,454171,389316,225772,232415
85872912,44,2011-08-27T00:00:00.000Z,81832,790511,false,false,2,1,389316,225772,525897,154159,154216
85872912,47,2011-09-18T00:00:00.000Z,2653,81832,false,false,160,1,448881,173282,389316,225772,79392
85872912,50,2012-10-19T00:00:00.000Z,81832,301275,false,false,1193,1,389316,225772,360906,829704,604599
85872912,20,2009-06-02T00:00:00.000Z,81832,25894,false,false,4,1,389316,225772,196958,72351,246047
85872912,8,2008-06-14T00:00:00.000Z,790389,81832,false,false,9,1,377894,242742,389316,225772,20455
85872912,11,2008-07-07T00:00:00.000Z,173351,81832,false,false,47,1,443921,235124,389316,225772,55400
85872912,14,2008-09-18T00:00:00.000Z,81832,2653,false,false,3,1,389316,225772,448881,173282,79392
85872912,17,2008-10-23T00:00:00.000Z,395208,81832,false,false,208,1,308432,725086,389316,225772,505822
85872912,16,2008-10-17T00:00:00.000Z,81832,395208,false,false,6,1,389316,225772,308432,725086,505822
85872912,19,2009-05-23T00:00:00.000Z,790593,81832,false,false,10,1,298701,90301,389316,225772,162983
85872912,22,2009-06-29T00:00:00.000Z,81832,790251,false,false,3,1,389316,225772,614757,310351,240784
85872912,25,2009-07-10T00:00:00.000Z,789664,81832,false,false,50,1,432315,271422,389316,225772,62712
85872912,4,2008-05-17T00:00:00.000Z,790593,81832,false,false,18,1,298701,90301,389316,225772,162983
85872912,7,2008-06-12T00:00:00.000Z,81832,790389,false,false,2,1,389316,225772,377894,242742,20455
85872912,10,2008-06-26T00:00:00.000Z,790251,173351,false,false,11,1,614757,310351,443921,235124,186665
85872912,13,2008-08-25T00:00:00.000Z,790511,81832,false,false,24,1,525897,154159,389316,225772,154216
85872912,45,2011-08-29T00:00:00.000Z,790511,81832,false,false,18,1,525897,154159,389316,225772,154216
85872912,48,2012-02-25T00:00:00.000Z,81832,25776529,false,false,106,1,389316,225772,372460,631612,406189
85872912,33,2010-07-06T00:00:00.000Z,1410262,81832,false,false,80,1,275315,60117,389316,225772,201091
85872912,36,2011-06-16T00:00:00.000Z,81832,790389,false,false,3,1,389316,225772,377894,242742,20455
85872912,39,2011-06-26T00:00:00.000Z,316700,81832,false,false,14,1,298262,666930,389316,225772,450456
85872912,42,2011-07-16T00:00:00.000Z,81832,275700,false,false,5,1,389316,225772,303792,252024,89462
85872912,28,2009-09-05T00:00:00.000Z,81832,791199,false,false,0,1,389316,225772,421212,232137,32524
85872912,31,2009-09-20T00:00:00.000Z,2653,81832,false,false,58,1,448881,173282,389316,225772,79392
85872912,34,2010-09-24T00:00:00.000Z,81832,25767375,false,false,189,1,389316,225772,343699,357929,139808
85872912,32,2009-11-17T00:00:00.000Z,81832,1410262,false,false,231,1,389316,225772,275315,60117,201091
85872912,35,2011-04-01T00:00:00.000Z,25767375,81832,false,false,76,1,343699,357929,389316,225772,139808
85872912,38,2011-06-21T00:00:00.000Z,81832,316700,false,false,5,1,389316,225772,298262,666930,450456
85872912,23,2009-07-02T00:00:00.000Z,790251,81832,false,false,3,1,614757,310351,389316,225772,240784
85872912,26,2009-08-29T00:00:00.000Z,81832,790511,false,false,2,1,389316,225772,525897,154159,154216
85872912,29,2009-09-05T00:00:00.000Z,791199,81832,false,false,13,1,421212,232137,389316,225772,32524
85872912,37,2011-06-19T00:00:00.000Z,790389,81832,false,false,2,1,377894,242742,389316,225772,20455
85872912,40,2011-07-10T00:00:00.000Z,81832,791228,false,false,4,1,389316,225772,432336,454171,232415
85872912,43,2011-07-21T00:00:00.000Z,275700,81832,false,false,37,1,303792,252024,389316,225772,89462
85872912,46,2011-09-16T00:00:00.000Z,81832,2653,false,false,2,1,389316,225772,448881,173282,79392
85872912,49,2012-06-10T00:00:00.000Z,25776529,81832,false,false,131,1,372460,631612,389316,225772,406189
85872912,12,2008-08-23T00:00:00.000Z,81832,790511,false,false,2,1,389316,225772,525897,154159,154216
85872912,15,2008-09-21T00:00:00.000Z,2653,81832,false,false,26,1,448881,173282,389316,225772,79392
85872912,18,2009-05-19T00:00:00.000Z,81832,790593,false,false,4,1,389316,225772,298701,90301,162983
85872912,21,2009-06-06T00:00:00.000Z,25894,81832,false,false,23,1,196958,72351,389316,225772,246047
85872912,2,2008-05-05T00:00:00.000Z,25746937,81832,false,false,9,1,350338,172181,389316,225772,66266
85872912,5,2008-06-04T00:00:00.000Z,81832,25894,false,false,3,1,389316,225772,196958,72351,246047
85872912,0,2007-05-02T00:00:00.000Z,,81832,true,false,369,1,,,,,
85872912,3,2008-05-14T00:00:00.000Z,81832,790593,false,false,3,1,389316,225772,298701,90301,162983
85872912,6,2008-06-07T00:00:00.000Z,25894,81832,false,false,5,1,196958,72351,389316,225772,246047
85872912,9,2008-06-23T00:00:00.000Z,81832,790251,false,false,3,1,389316,225772,614757,310351,240784
85872912,1,2008-05-05T00:00:00.000Z,81832,25746937,false,false,0,1,389316,225772,350338,172181,66266
