AnimalId,MovementId,MovementDate,OffLocationKey,OnLocationKey,Birth,Death,Stay_Length,Valid_History,OffX,OffY,OnX,OnY,Distance
88678715,39,2011-06-30T00:00:00.000Z,790251,81832,false,false,10,1,614757,310351,389316,225772,240784
88678715,40,2011-07-10T00:00:00.000Z,81832,791228,false,false,4,1,389316,225772,432336,454171,232415
88678715,43,2011-07-21T00:00:00.000Z,275700,81832,false,false,37,1,303792,252024,389316,225772,89462
88678715,46,2011-09-16T00:00:00.000Z,81832,2653,false,false,2,1,389316,225772,448881,173282,79392
88678715,49,2012-07-08T00:00:00.000Z,790259,81832,false,false,13,1,513488,295442,389316,225772,142381
88678715,35,2011-06-19T00:00:00.000Z,790389,81832,false,false,2,1,377894,242742,389316,225772,20455
88678715,38,2011-06-28T00:00:00.000Z,81832,790251,false,false,2,1,389316,225772,614757,310351,240784
88678715,41,2011-07-14T00:00:00.000Z,791228,81832,false,false,2,1,432336,454171,389316,225772,232415
88678715,48,2012-07-04T00:00:00.000Z,81832,790259,false,false,4,1,389316,225772,513488,295442,142381
88678715,51,2012-07-26T00:00:00.000Z,275700,81832,false,false,392,1,303792,252024,389316,225772,89462
88678715,15,2008-09-21T00:00:00.000Z,2653,81832,false,false,54,1,448881,173282,389316,225772,79392
88678715,18,2008-12-03T00:00:00.000Z,81832,790520,false,false,3,1,389316,225772,365067,139319,89789
88678715,21,2010-05-22T00:00:00.000Z,790593,81832,false,false,9,1,298701,90301,389316,225772,162983
88678715,24,2010-06-08T00:00:00.000Z,81832,25894,false,false,4,1,389316,225772,196958,72351,246047
88678715,1,2008-05-05T00:00:00.000Z,81832,25746937,false,false,0,1,389316,225772,350338,172181,66266
88678715,4,2008-05-17T00:00:00.000Z,790593,81832,false,false,18,1,298701,90301,389316,225772,162983
88678715,27,2010-06-27T00:00:00.000Z,316700,81832,false,false,1,1,298262,666930,389316,225772,450456
88678715,30,2010-07-10T00:00:00.000Z,81832,791228,false,false,5,1,389316,225772,432336,454171,232415
88678715,33,2011-05-21T00:00:00.000Z,790593,81832,false,false,26,1,298701,90301,389316,225772,162983
88678715,36,2011-06-21T00:00:00.000Z,81832,316700,false,false,5,1,389316,225772,298262,666930,450456
88678715,0,2007-11-19T00:00:00.000Z,,81832,true,false,168,1,,,,,
88678715,52,2013-08-22T00:00:00.000Z,81832,,false,true,,1,,,,,
88678715,23,2010-06-04T00:00:00.000Z,790520,81832,false,false,4,1,365067,139319,389316,225772,89789
88678715,26,2010-06-21T00:00:00.000Z,81832,316700,false,false,6,1,389316,225772,298262,666930,450456
88678715,29,2010-07-01T00:00:00.000Z,790251,81832,false,false,9,1,614757,310351,389316,225772,240784
88678715,32,2011-05-17T00:00:00.000Z,81832,790593,false,false,4,1,389316,225772,298701,90301,162983
88678715,42,2011-07-16T00:00:00.000Z,81832,275700,false,false,5,1,389316,225772,303792,252024,89462
88678715,45,2011-08-29T00:00:00.000Z,790511,81832,false,false,18,1,525897,154159,389316,225772,154216
88678715,2,2008-05-05T00:00:00.000Z,25746937,81832,false,false,9,1,350338,172181,389316,225772,66266
88678715,5,2008-06-04T00:00:00.000Z,81832,25894,false,false,3,1,389316,225772,196958,72351,246047
88678715,8,2008-06-14T00:00:00.000Z,790389,81832,false,false,9,1,377894,242742,389316,225772,20455
88678715,31,2010-07-15T00:00:00.000Z,791228,81832,false,false,306,1,432336,454171,389316,225772,232415
88678715,34,2011-06-16T00:00:00.000Z,81832,790389,false,false,3,1,389316,225772,377894,242742,20455
