AnimalId,MovementId,MovementDate,OffLocationKey,OnLocationKey,Birth,Death,Stay_Length,Valid_History,OffX,OffY,OnX,OnY,Distance
4478260,8,2003-06-15T00:00:00.000Z,790389,80170,false,false,1146,1,377894,242742,549755,225354,172738
4478260,11,2009-09-05T00:00:00.000Z,171952,85136,false,false,422,1,470353,346386,372263,221296,158962
4478260,1,2002-06-16T00:00:00.000Z,80170,790259,false,false,0,1,549755,225354,513488,295442,78915
4478260,2,2002-06-16T00:00:00.000Z,790259,80170,false,false,329,1,513488,295442,549755,225354,78915
4478260,5,2003-05-25T00:00:00.000Z,80170,790474,false,false,0,1,549755,225354,510333,211088,41923
4478260,4,2003-05-11T00:00:00.000Z,790269,80170,false,false,14,1,586509,270944,549755,225354,58560
4478260,7,2003-06-12T00:00:00.000Z,80170,790389,false,false,3,1,549755,225354,377894,242742,172738
4478260,10,2006-08-05T00:00:00.000Z,25754000,171952,false,false,1127,1,406638,198793,470353,346386,160758
4478260,13,2010-11-01T00:00:00.000Z,382186,,false,true,,1,,,,,
4478260,3,2003-05-11T00:00:00.000Z,80170,790269,false,false,0,1,549755,225354,586509,270944,58560
4478260,6,2003-05-25T00:00:00.000Z,790474,80170,false,false,18,1,510333,211088,549755,225354,41923
4478260,9,2006-08-04T00:00:00.000Z,80170,25754000,false,false,1,1,549755,225354,406638,198793,145560
4478260,12,2010-11-01T00:00:00.000Z,85136,382186,false,false,0,1,372263,221296,383487,213437,13701
