AnimalId,MovementId,MovementDate,OffLocationKey,OnLocationKey,Birth,Death,Stay_Length,Valid_History,OffX,OffY,OnX,OnY,Distance
7373259,3,2005-06-21T00:00:00.000Z,40507,33918,false,false,1428,1,329609,478461,311829,489844,21111
7373259,6,2009-11-27T00:00:00.000Z,33918,34818,false,false,0,1,311829,489844,311315,529562,39721
7373259,9,2010-03-08T00:00:00.000Z,103016,382186,false,false,3,1,361021,224270,383487,213437,24941
7373259,1,2002-02-17T00:00:00.000Z,257051,40715,false,false,1220,1,434566,449355,331492,499741,114730
7373259,4,2009-05-19T00:00:00.000Z,33918,33718,false,false,139,1,311829,489844,310765,487953,2169
7373259,7,2009-11-27T00:00:00.000Z,34818,99979,false,false,101,1,311315,529562,344745,226127,305270
7373259,10,2010-03-11T00:00:00.000Z,382186,,false,true,,1,,,,,
7373259,2,2005-06-21T00:00:00.000Z,40715,40507,false,false,0,1,331492,499741,329609,478461,21363
7373259,5,2009-10-05T00:00:00.000Z,33718,33918,false,false,53,1,310765,487953,311829,489844,2169
7373259,8,2010-03-08T00:00:00.000Z,99979,103016,false,false,0,1,344745,226127,361021,224270,16381
